"Familiarity","WillingnessToTry","Interest","FlyingExperience","AirshowExperience","PerceivedReliability","EnvironmentalConcern","WillingnessToPay","ImportanceOfTimeSavings","ImportanceOfTrafficAvoidance","ImportanceOfConvenience","ImportanceOfEnvBenefits","ComfortWithFlying","MainConcern","DemonstrationInterest","AAMUseCases","OhioTesting","AgeGroup","IncomeLevel","AreaType","enc_WillingnessToTry","enc_Interest","enc_PerceivedReliability","enc_EnvironmentalConcern","enc_ComfortWithFlying","enc_FlyingExperience","enc_AirshowExperience","enc_DemonstrationInterest","enc_OhioTesting","enc_WillingnessToPay","enc_IncomeLevel","enc_AreaType"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maybe","Somewhat likely","Somewhat interested","None of the above","Maybe","Neutral","Extremely important",NA,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","2",NA,0,"0",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta)","No","Neutral","Moderately important","Up to 25% more",2,1,3,4,"Neither comfortable nor uncomfortable",NA,"Yes",NA,"Maybe","18 - 25","$75,001 - $100,000","Suburban","2","2","0","0","0",1,"-1","1","0","0.25","4","2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes","Somewhat unlikely","Somewhat uninterested","Commercial airplane (like American Airlines or Delta)","No","Somewhat unreliable","Extremely important","No more than a regular taxi/ride-share",4,3,1,2,"Somewhat uncomfortable","Safety","Yes","If I knew it would be safe as well as faster and more convenient than traditional transport. ","Maybe","36 - 45","$100,001 - $150,000","Suburban","-1","-1","-1","2","-1",1,"-1","1","0","0","5","2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes","Neutral","Somewhat uninterested","Commercial airplane (like American Airlines or Delta)","Yes","Somewhat unreliable","Moderately important","Up to 50% more",1,2,3,4,"Neither comfortable nor uncomfortable",NA,"Yes",NA,"Maybe","18 - 25","$25,000 - $50,000","Rural","0","-1","-1","0","0",1,"1","1","0","0.5","2","1"
"Yes","Somewhat unlikely","Somewhat interested","None of the above","Yes","Somewhat unreliable","Very important","No more than a regular taxi/ride-share",3,4,1,2,"Somewhat comfortable",NA,"Yes",NA,"Yes","18 - 25","Less than $25,000","Suburban","-1","1","-1","1","1",0,"1","1","1","0","1","2"
"Yes","Extremely likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Very important","More than double",1,3,2,4,"Somewhat comfortable","Safety","Yes","In a congested city environment with traffic","Yes","36 - 45","Over $150,000","Suburban","2","2","1","1","1",1,"1","1","1","2","6","2"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","Yes","Somewhat reliable","Extremely important","No more than a regular taxi/ride-share",2,4,3,1,"Somewhat comfortable","Untested on a wide basis","Yes","Airport drop off","Yes","46 - 55","$100,001 - $150,000","Suburban","1","1","1","2","1",1,"1","1","1","0","5","2"
"Yes","Neutral","Somewhat uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Moderately important","No more than a regular taxi/ride-share",2,1,3,4,"Somewhat uncomfortable","Lack of proven technology, pushing technology beyond its current safety limits.","Yes","Travel to places harder to get to via road travel; or where traffic congestion made travel time long","Maybe","46 - 55","Over $150,000","Rural","0","-1","-1","0","-1",1,"1","1","0","0","6","1"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta)","Maybe","Somewhat reliable","Extremely important","No more than a regular taxi/ride-share",1,2,3,4,"Somewhat comfortable",NA,"No",NA,"Maybe","26 - 35","$100,001 - $150,000","Urban","2","2","1","2","1",1,"0","-1","0","0","5","3"
